timestamp,pair,direction,n_entries,entry_spread,exit_spread,entry_z,exit_z,pnl_pct,fee_usd,net_pnl_usd,outcome,hold_h,reason,balance_after,beta_stored
2026-07-10 21:50,1000FLOKI/1000PEPE,LONG,3,-0.856317,-0.821342,-2.642,-0.48,3.4976,0.8,16.688,WIN,5.4,MEAN,5301.58,0.498341
2026-07-10 22:05,NEAR/SAND,LONG,6,3.568291,3.578062,-2.07,-1.983,0.9771,0.8,4.0856,WIN,2.0,swap,5305.22,0.978456
2026-07-10 23:50,ENA/SEI,SHORT,9,-0.639069,-0.653191,2.18,2.681,1.4122,1.28,10.0177,WIN,2.0,swap,5314.11,0.619808
2026-07-11 00:15,INJ/TIA,SHORT,8,1.963938,1.963477,2.716,2.711,0.0461,0.8,-0.5695,LOSS,2.2,swap,5313.15,0.386474
2026-07-11 02:00,ONDO/PENGU,SHORT,8,2.392886,2.392254,2.129,2.327,0.0633,0.8,-0.4837,LOSS,2.2,swap,5311.62,0.690563
2026-07-11 02:15,ENA/SEI,SHORT,10,-0.495539,-0.525287,2.554,3.033,2.9748,0.8,14.0739,WIN,2.0,swap,5325.38,0.66011
2026-07-11 05:05,INJ/TIA,SHORT,7,1.978047,1.974964,2.231,2.059,0.3083,0.8,0.7416,WIN,3.1,swap,5325.16,0.40595
2026-07-11 07:05,ENA/SEI,SHORT,6,-0.099219,-0.149819,3.133,2.381,5.06,0.8,24.5,WIN,2.0,swap,5349.18,0.785723
2026-07-11 11:15,1000SHIB/1MBABYDOGE,SHORT,5,1.932486,1.918655,1.703,-3.087,1.3832,0.8,6.1159,WIN,18.1,swap,5355.21,0.913791
2026-07-12 16:00,INJ/TIA,SHORT,1,2.040301,2.00734,2.393,0.073,3.2962,0.8,15.6808,WIN,28.8,MEAN,5370.65,0.463684
2026-07-12 16:05,ENA/SUSHI,SHORT,3,-1.494752,-1.8483,1.719,1.216,35.3547,0.8,175.9737,WIN,33.0,swap,5546.42,0.365464
2026-07-12 20:15,JUP/PENGU,LONG,8,4.201716,3.722974,-1.715,-0.284,-47.8742,1.28,-384.2739,LOSS,62.2,MEAN,5162.07,1.041581
2026-07-12 23:05,LTC/SOL,SHORT,2,1.658585,1.648897,1.152,0.308,0.9688,1.28,6.4704,WIN,7.1,MEAN,5168.41,0.492477
2026-07-13 06:30,JUP/SAND,LONG,6,1.507052,1.482322,-1.535,-0.82,-2.473,0.32,-5.2659,LOSS,72.4,TIMEOUT,5162.95,1.014513
2026-07-13 06:35,ONDO/PENGU,SHORT,8,2.393721,2.397812,2.672,0.192,-0.4092,0.8,-2.8458,LOSS,52.3,MEAN,5160.07,0.690575
2026-07-13 06:45,LTC/XRP,SHORT,6,3.742369,3.738269,1.934,0.408,0.41,1.28,2.0003,WIN,58.4,MEAN,5162.07,0.551481
2026-07-13 06:55,1000SHIB/1INCH,LONG,2,-4.429135,-4.323804,-2.059,-2.347,10.5331,0.8,51.8656,WIN,14.8,swap,5213.54,0.435799
2026-07-13 07:25,LINK/SOL,SHORT,8,-0.555723,-0.516319,1.919,1.309,-3.9404,0.32,-8.2009,LOSS,73.3,TIMEOUT,5205.26,0.597486
2026-07-13 07:25,LINK/XRP,SHORT,6,1.965773,1.996098,1.524,1.791,-3.0325,0.32,-6.3851,LOSS,73.3,TIMEOUT,5198.87,1.030464
2026-07-13 09:25,LINK/SOL,SHORT,3,-1.488755,-1.524147,1.309,1.316,3.5392,0.32,6.7584,WIN,2.0,swap,5205.01,0.830106
2026-07-13 09:50,SAND/SEI,LONG,2,-0.799309,-0.840492,-1.331,-0.472,-4.1183,1.28,-34.2264,LOSS,13.3,MEAN,5170.54,0.724528
2026-07-13 12:50,JUP/SAND,LONG,1,1.24617,1.274268,-0.82,-0.438,2.8098,0.32,5.2996,WIN,6.3,MEAN,5174.67,0.936898
2026-07-13 13:05,DOGE/XRP,LONG,2,-2.679443,-2.678734,-1.11,-0.889,0.0709,1.28,-0.7126,LOSS,6.3,swap,5173.85,0.695815
2026-07-13 14:15,LINK/XRP,SHORT,5,1.998242,1.998024,1.791,1.729,0.0218,0.32,-0.2763,LOSS,6.8,swap,5173.17,1.039321
2026-07-13 14:30,RENDER/RUNE,LONG,7,0.898471,0.898824,-1.876,-2.164,0.0353,0.32,-0.2494,LOSS,7.8,swap,5172.44,0.537017
2026-07-13 14:35,ETH/SUI,SHORT,1,7.992153,7.985158,0.788,0.38,0.6995,0.32,1.079,WIN,1.8,MEAN,5173.36,1.607843
