timestamp,coin,direction,entry_price,exit_price,pnl_pct,fee_usd,net_pnl_usd,outcome,hold_h,reason,mfe_pct,balance_after
2026-07-15 14:25,RESOLV,SHORT,0.01862,0.01974,-6.015,0.8,-30.8752,LOSS,15.6,SL,0.698,4553.41
2026-07-15 14:45,METIS,SHORT,2.783,2.899,-4.1682,0.8,-21.6408,LOSS,49.0,SL,1.653,4531.77
2026-07-15 14:45,BULLA,LONG,0.006705,0.007077,5.5481,0.8,26.9405,WIN,20.7,TRAIL,9.053,4558.71
2026-07-15 15:45,TAC,LONG,0.003229,0.003098,-4.057,0.8,-21.0849,LOSS,0.7,SL,1.92,4536.83
2026-07-15 23:45,LAB,SHORT,0.2174,0.2304,-5.9798,0.8,-30.6988,LOSS,0.7,SL,0.322,4504.53
2026-07-16 11:45,STRK,SHORT,0.0295,0.02826,4.2034,0.8,20.2169,WIN,80.2,TIMEOUT,4.203,4523.54
2026-07-16 12:20,COAI,LONG,0.322,0.3088,-4.0994,0.8,-21.2969,LOSS,11.3,SL,0.0,4502.25
2026-07-16 12:50,EUL,LONG,1.0298,0.98,-4.8359,0.8,-24.9795,LOSS,18.7,SL,0.262,4476.87
2026-07-16 12:55,MYX,LONG,0.07242,0.07484,3.3416,0.8,15.9081,WIN,22.1,TRAIL,5.012,4492.37
2026-07-16 14:35,BANANAS31,SHORT,0.007524,0.007409,1.5284,0.8,6.8422,WIN,72.4,TIMEOUT,3.283,4498.82
2026-07-16 17:05,G,LONG,0.003612,0.003461,-4.1805,0.8,-21.7025,LOSS,47.4,SL,1.412,4476.31
2026-07-16 17:15,TAC,LONG,0.003289,0.003497,6.3241,0.8,30.8206,WIN,0.5,TRAIL,8.057,4507.14
2026-07-16 17:25,NOM,LONG,0.001594,0.001527,-4.2033,0.8,-21.8163,LOSS,17.4,SL,0.439,4484.92
2026-07-16 23:25,YB,LONG,0.0773,0.07408,-4.1656,0.8,-21.6279,LOSS,7.9,SL,2.018,4462.49
2026-07-16 23:55,MIRA,LONG,0.04346,0.04171,-4.0267,0.8,-20.9335,LOSS,23.9,SL,0.0,4441.16
2026-07-18 00:55,RESOLV,LONG,0.02138,0.02039,-4.6305,0.8,-23.9525,LOSS,31.5,SL,2.479,4416.8
2026-07-18 18:35,TRUMP,LONG,1.591,1.623,2.0113,0.8,9.2566,WIN,72.0,TIMEOUT,4.211,4425.66
2026-07-18 19:00,SIREN,LONG,0.0274,0.0285,4.0146,0.8,19.273,WIN,69.6,TRAIL,6.277,4444.53
2026-07-18 22:10,EVAA,SHORT,0.8335,0.8095,2.8794,0.8,13.5971,WIN,13.9,TRAIL,5.783,4457.73
