ts,strategy,coin,action,direction,entry_price
2026-06-01T18:21:25.849495+00:00,ZSCORE_SLOW_REVERT,XPIN,OPEN,-1,0.00127,0.0,0.0,0,0.3320565146131014,5844354.0,2930580.0
2026-06-01T18:21:26.849662+00:00,ATR_BREAKOUT_FOLLOW,BSB,OPEN,-1,0.26936,0.0,0.0,0,0.26943308007013445,1086.0,625.0
2026-06-01T18:21:27.249770+00:00,DONCHIAN_BREAKOUT,BSB,OPEN,-1,0.26936
2026-06-01T18:21:28.250024+00:00,MEAN_REVERT_BB_RSI,KGEN,OPEN,-1,0.18272,0.0,0.0,0,0.014043583535108959,2094.0,2036.0
2026-06-01T18:21:28.849709+00:00,MEAN_REVERT_BB_RSI,EDU,OPEN,-1,0.04505
2026-06-01T18:21:29.349636+00:00,MTF_MOMENTUM,AIOT,OPEN,1,0.06213
2026-06-01T18:21:29.952261+00:00,MTF_MOMENTUM,BSB,OPEN,-1,0.26936,0.0,0.0,0,0.8680989258056457,3739.0,264.0
2026-06-01T18:21:30.148864+00:00,CANDLE_BEAR_MARUBOZU,POWER,CLOSE,SL,0.07992,0.08538,-1,-10.487747747747733,-6.831831831831822
2026-06-01T18:21:31.049520+00:00,RSI_LOOSE,BAS,OPEN,1,0.023892
2026-06-01T18:21:31.149642+00:00,BB_TIGHT,Q,CLOSE,TP,0.019201,0.019608,1,3.9193625332014075,2.1196812666007037
2026-06-01T18:21:31.850154+00:00,BB_LONG_WIN,BAS,OPEN,1,0.023892
2026-06-01T18:21:31.853445+00:00,BB_LONG_WIN,BSB,CLOSE,SL,0.30387,0.26936,1,-23.033660446901628,-11.356830223450814
2026-06-01T18:21:32.050549+00:00,ZSCORE_TIGHT,CELO,CLOSE,TP,0.07438,0.07582,1,2.6640064533476675,1.9360043022317783
2026-06-01T18:21:32.449466+00:00,ZSCORE_TIGHT,BAS,OPEN,1,0.023892
2026-06-01T18:21:32.451437+00:00,ZSCORE_TIGHT,XNY,CLOSE,TP,0.007175,0.006769,-1,8.247804878048782,5.658536585365855
2026-06-01T18:21:33.352529+00:00,DONCHIAN_SHORT_WIN,BSB,OPEN,-1,0.26936,0.0,0.0,0,0.5233785822021116,505.0,158.0
2026-06-01T18:21:33.354290+00:00,DONCHIAN_SHORT_WIN,ARIA,CLOSE,TP,0.043,0.04,-1,13.633488372093003,6.976744186046502
2026-06-01T18:21:34.049520+00:00,ATR_HIGH_MULT,BSB,OPEN,-1,0.26936
2026-06-01T18:21:34.751337+00:00,VWAP_TIGHT,CELO,OPEN,-1,0.07582,0.0,0.0,0,-0.7185437140026827,3210.6,19603.600000000002
2026-06-01T18:21:35.649975+00:00,VWAP_TIGHT,1000SATS,OPEN,-1,1.163e-05,0.0,0.0,0,-0.08077510370952996,1973049267.0,2319805017.0
2026-06-01T18:21:35.651633+00:00,VWAP_TIGHT,Q,CLOSE,TP,0.019201,0.019608,1,2.939521899901055,2.1196812666007037
2026-06-01T18:21:35.652764+00:00,VWAP_TIGHT,AIOT,CLOSE,TP,0.05535,0.06213,1,18.133983739837387,12.249322493224922
2026-06-01T18:21:35.653832+00:00,VWAP_TIGHT,M,CLOSE,TP,2.8898,3.3056,1,21.34280849885805,14.388538999238698
2026-06-01T18:21:35.851201+00:00,VWAP_TIGHT,FOLKS,CLOSE,TP,1.407,1.379,-1,2.745074626865674,1.9900497512437827
2026-06-01T18:21:36.649654+00:00,VWAP_TIGHT,龙虾,OPEN,1,0.006705
2026-06-01T18:21:37.449942+00:00,VWAP_WIDE,DYDX,OPEN,1,0.1797,0.0,0.0,0,-0.02695085203235004,149557.8,157842.5
2026-06-01T18:21:38.349948+00:00,VWAP_WIDE,AIOT,OPEN,-1,0.06213,0.0,0.0,0,0.07749018350829394,6723.0,5756.0
2026-06-01T18:21:38.551629+00:00,VWAP_WIDE,BAS,CLOSE,SL,0.026928,0.023892,1,-17.151764705882353,-11.27450980392157
2026-06-01T18:21:38.553131+00:00,VWAP_WIDE,M,CLOSE,TP,2.8898,3.3056,1,21.34280849885805,14.388538999238698
