timestamp,pair,direction,n_entries,entry_spread,exit_spread,entry_z,exit_z,pnl_pct,fee_usd,net_pnl_usd,outcome,hold_h,reason,balance_after,beta_stored,kelly_weight,mfe_pct,half_life_h
2026-07-15 16:01,RENDER/SUSHI,LONG,1,-0.006033,0.008457,-0.596,0.375,1.449,0.3731,3.0058,WIN,19.4,MEAN,4179.98,-0.233091,0.5,1.449,14.525006285196879
2026-07-15 16:11,PENGU/RUNE,LONG,5,-2.558444,-2.553237,-1.414,-1.278,0.5207,0.3765,0.8488,WIN,2.1,swap,4180.45,2.934922,0.5,0.851,89.38201308243076
2026-07-15 16:17,EIGEN/ENS,SHORT,2,0.062979,0.048845,1.974,1.308,1.4134,1.002,7.8495,WIN,0.5,profit_lock,4188.08,-1.014723,1.5,2.092,13.894706931521364
2026-07-15 16:26,ACE/ASR,LONG,3,-1.338101,-1.317857,-1.609,-1.352,2.0244,0.6688,7.7931,WIN,0.4,profit_lock,4195.39,9.54961,1.0,3.332,6.090728141866716
2026-07-15 16:46,GALA/SAND,LONG,4,-0.044446,-0.025848,-2.175,-1.198,1.8599,1.1299,12.0037,WIN,2.5,profit_lock,4207.01,2.040459,1.5,2.183,23.086413178103967
2026-07-15 16:51,H/HEMI,LONG,4,-1.088375,-1.08799,-4.938,-5.18,0.0385,0.6689,-0.5081,LOSS,0.7,profit_lock,4206.43,0.321933,1.0,1.969,5.552117145599122
2026-07-15 16:56,H/MAV,LONG,2,-0.161514,-0.149381,-6.071,-5.029,1.2134,0.6713,4.4193,WIN,0.5,profit_lock,4210.78,0.572264,1.0,1.959,5.432152426689519
2026-07-15 17:02,1000PEPE/1000SHIB,SHORT,5,-3.148852,-3.176326,1.825,0.914,2.7474,0.3489,5.6415,WIN,1.9,profit_lock,4216.2,0.495937,0.5,2.944,45.528914700144895
2026-07-15 17:16,SOL/XRP,LONG,4,1.42616,1.649143,-1.855,-1.307,22.2983,1.1313,156.5248,WIN,2.9,profit_lock,4372.42,25.298849,1.5,26.351,25.598215206298992
2026-07-15 17:51,SOL/LTC,LONG,7,-0.016028,-0.007204,-1.202,-0.717,0.8825,0.753,3.4002,WIN,3.8,swap,4375.03,1.144379,1.0,1.09,66.60898494396777
