d $-114.52, Open 0/20
[2026-06-22 13:59:03] Cycle done. Cap $4067.72, Realized $-182.28, Open 3/20
[2026-06-22 14:22:20] Cycle done. Cap $4067.72, Realized $-182.28, Open 3/20
[2026-06-22 14:38:10] CLOSE GRASS 1: SL pnl $4.40 (1.92%)
[2026-06-22 14:38:33] Cycle done. Cap $4322.11, Realized $-177.89, Open 2/20
[2026-06-22 15:07:04] Cycle done. Cap $4322.11, Realized $-177.89, Open 2/20
[2026-06-22 15:27:35] Cycle done. Cap $4322.11, Realized $-177.89, Open 2/20
[2026-06-22 15:50:31] Cycle done. Cap $4322.11, Realized $-177.89, Open 2/20
[2026-06-22 16:15:40] OPEN AGT SHORT @ 0.022915, SL=0.024084, TP=0.019799
[2026-06-22 16:16:07] Cycle done. Cap $4072.11, Realized $-177.89, Open 3/20
[2026-06-22 16:37:24] Cycle done. Cap $4072.11, Realized $-177.89, Open 3/20
[2026-06-22 16:55:32] Cycle done. Cap $4072.11, Realized $-177.89, Open 3/20
[2026-06-22 17:17:43] Cycle done. Cap $4072.11, Realized $-177.89, Open 3/20
[2026-06-22 17:33:28] OPEN HEI SHORT @ 0.0861, SL=0.087934, TP=0.081209
[2026-06-22 17:33:49] Cycle done. Cap $3822.11, Realized $-177.89, Open 4/20
[2026-06-22 17:53:48] Cycle done. Cap $3822.11, Realized $-177.89, Open 4/20
[2026-06-22 18:18:48] Cycle done. Cap $3822.11, Realized $-177.89, Open 4/20
[2026-06-22 18:40:54] Cycle done. Cap $3822.11, Realized $-177.89, Open 4/20
[2026-06-22 18:58:11] Cycle done. Cap $3822.11, Realized $-177.89, Open 4/20
[2026-06-22 19:13:56] Cycle done. Cap $3822.11, Realized $-177.89, Open 4/20
[2026-06-22 19:31:45] Cycle done. Cap $3822.11, Realized $-177.89, Open 4/20
[2026-06-22 19:46:24] CLOSE GUA -1: TP pnl $26.50 (10.76%)
[2026-06-22 19:46:31] OPEN IRYS SHORT @ 0.0167, SL=0.016867, TP=0.016254
[2026-06-22 19:47:08] Cycle done. Cap $3848.61, Realized $-151.39, Open 4/20
[2026-06-22 20:05:15] Cycle done. Cap $3848.61, Realized $-151.39, Open 4/20
[2026-06-22 20:23:16] Cycle done. Cap $3848.61, Realized $-151.39, Open 4/20
[2026-06-22 20:37:11] CLOSE IRYS -1: SL pnl $-2.94 (-1.02%)
[2026-06-22 20:37:28] Cycle done. Cap $4095.67, Realized $-154.33, Open 3/20
[2026-06-22 20:53:11] CLOSE AGT -1: SL pnl $10.79 (4.48%)
[2026-06-22 20:53:21] Cycle done. Cap $4356.46, Realized $-143.54, Open 2/20
[2026-06-22 21:12:34] Cycle done. Cap $4356.46, Realized $-143.54, Open 2/20
[2026-06-22 21:27:07] OPEN INX LONG @ 0.008387, SL=0.008279, TP=0.008676
[2026-06-22 21:27:37] Cycle done. Cap $4106.46, Realized $-143.54, Open 3/20
[2026-06-22 21:42:36] Cycle done. Cap $4106.46, Realized $-143.54, Open 3/20
[2026-06-22 21:58:12] Cycle done. Cap $4106.46, Realized $-143.54, Open 3/20
[2026-06-22 22:20:47] Cycle done. Cap $4106.46, Realized $-143.54, Open 3/20
[2026-06-22 22:38:14] Cycle done. Cap $4106.46, Realized $-143.54, Open 3/20
[2026-06-22 22:52:28] Cycle done. Cap $4106.46, Realized $-143.54, Open 3/20
[2026-06-22 23:11:25] CLOSE INX 1: TP pnl $9.76 (4.07%)
[2026-06-22 23:12:10] Cycle done. Cap $4366.23, Realized $-133.77, Open 2/20
[2026-06-22 23:30:29] Cycle done. Cap $4366.23, Realized $-133.77, Open 2/20
[2026-06-22 23:47:08] Cycle done. Cap $4366.23, Realized $-133.77, Open 2/20
[2026-06-23 00:07:01] Cycle done. Cap $4366.23, Realized $-133.77, Open 2/20
[2026-06-23 00:29:55] Cycle done. Cap $4366.23, Realized $-133.77, Open 2/20
[2026-06-23 00:51:47] Cycle done. Cap $4366.23, Realized $-133.77, Open 2/20
